NatEmis,Province,name
200300802,EC,CABAZANA JUNIOR SECONDARY SCHOOL
200500074,EC,CABAZI JUNIOR SECONDARY SCHOOL
200500073,EC,CACA SENIOR PRIMARY SCHOOL
200300040,EC,CACADU JUNIOR SECONDARY SCHOOL
200400064,EC,CACADU SENIOR SCHOOL
200500075,EC,CAESAR MLUMBI PRIMARY SCHOOL
200500076,EC,CAFUTWENI JUNIOR SECONDARY SCHOOL
200500077,EC,CAGUBA JUNIOR SECONDARY SCHOOL
200400065,EC,CAIPHUS KHOAPA JUNIOR SECONDARY SCHOOL
200500078,EC,CALA COMMUNITY SCHOOL
200600082,EC,CALA PASS PJ SCHOOL
200200073,EC,CALA RIVER SENIOR PRIMARY SCHOOL
200300041,EC,CALA SENIOR SECONDARY SCHOOL
200400066,EC,CALA VILLAGE JUNIOR SECONDARY SCHOOL
200500079,EC,CALDERWOOD PRIMARY SCHOOL
200600083,EC,CALEDON PREPARATORY SCHOOL
200600085,EC,CALEY JUNIOR SECONDARY SCHOOL
200600087,EC,CAMAGU JUNIOR PRIMARY SCHOOL
200600088,EC,CAMBALALA SENIOR PRIMARY SCHOOL
200600089,EC,CAMBRIDGE HIGH SCHOOL
200200074,EC,CAMBRIDGE PRIMARY SCHOOL
200101023,EC,CAMERON NGUDLE SENIOR SECONDARY SCHOOL
200300042,EC,CAMPBELL MNYHILA JUNIOR PRIMARY SCHOOL
200500080,EC,CAMSHE JUNIOR SECONDARY SCHOOL
200500081,EC,CANAAN ACADEMY (EAST LONDON)
200200075,EC,CANAAN ACADEMY (IDUTYWA)
200200076,EC,CANCELE JUNIOR SECONDARY SCHOOL
200400067,EC,CANCELE SENIOR SECONDARY SCHOOL
200300796,EC,CANDILANGA SENIOR PRIMARY SCHOOL
200300081,EC,CANDU JUNIOR SECONDARY SCHOOL
200200181,EC,CANDULWANDLE JUNIOR SECONDARY SCHOOL
200300874,EC,CANDULWANDLE PRIMARY SCHOOL
200500082,EC,CANGCI COMPREHENSIVE TECHNICAL HIGH
200500083,EC,CANHAMS JUNIOR SECONDARY SCHOOL
200401318,EC,CANZIBE PRIMARY SCHOOL
200300837,EC,CAPSTONE CHRISTIAN PRIMARY SCHOOL
200400068,EC,CAREL DU TOIT HIGH SCHOOL
200500084,EC,CARINUS PRIMARY SCHOOL
200501456,EC,CARITAS PRIMARY SCHOOL
200500085,EC,CARLISLE BRIDGE PRIMARY SCHOOL
200100103,EC,CATHCART (RC) PRIMARY SCHOOL
200100292,EC,CATHCART HIGH SCHOOL
200100105,EC,CATUZA SENIOR PRIMARY SCHOOL
200600091,EC,CEBANO JUNIOR SECONDARY SCHOOL
