name,region,province
Cilo Senior Primary School,Kentane,Eastern Cape
Cimezile Primary School,Queenstown,Eastern Cape
Cingani High School,Swartkops,Eastern Cape
Cingco Junior Secondary School,Tsolo,Eastern Cape
Cintsa East Primary School,East London,Eastern Cape
Cisira Combined Primary School,Peddie,Eastern Cape
Claremont Junior Primary School,Whittlesea,Eastern Cape
Clarendon Girls Primary School,East London,Eastern Cape
Clarendon High School For Girls,East London,Eastern Cape
Clarendon Park Primary School,Port Elizabeth,Eastern Cape
Clarendon Preparatory School,East London,Eastern Cape
Clarkebury J Pract School,Engcobo,Eastern Cape
Clarkebury Senior Secondary School,Engcobo,Eastern Cape
Clarkson Primary School,Clarkson,Eastern Cape
Clarkville Junior Secondary School,Bizana,Eastern Cape
Claude Makeng Senior Primary School,Mount Fletcher,Eastern Cape
Clifton Farm School,Elliotdale,Eastern Cape
Clumber Farm School,Bathurst,Eastern Cape
Cobosi Pjs School,Engcobo,Eastern Cape
Cockskomb Primary School,Patensie,Eastern Cape
Coega Primary School,Swartkops,Eastern Cape
Coffeebay Junior Secondary School,Mqanduli,Eastern Cape
Cofimvaba Finishing School,Cofimvaba,Eastern Cape
Cofimvaba Village Junior Secondary School,Cofimvaba,Eastern Cape
Cokomfeni Junior Secondary School,Qumbu,Eastern Cape
Cola Junior Secondary School,Tabankulu,Eastern Cape
Colana Junior Secondary School,Mount Frere,Eastern Cape
Colana Senior Secondary School,Mount Frere,Eastern Cape
Colchester U C C Primary School,Colchester,Eastern Cape
Coldstream Primary School,Colostream,Eastern Cape
Colleen Glen Farm School,Port Elizabeth,Eastern Cape
College Hill Preparatory School,Uitenhage,Eastern Cape
College Street Primary School,East London,Eastern Cape
Collegiate Girls' High School,Greenacres,Eastern Cape
Collegiate Girl's High School,Port Elizabeth,Eastern Cape
Collegiate Junior School For Girls,Port Elizabeth,Eastern Cape
Collywobbles Junior Secondary School,Idutywa,Eastern Cape
Colosa Junior Secondary School,Idutywa,Eastern Cape
Colosa Senior Secondary School,Idutywa,Eastern Cape
Colwana Springs Junior Secondary School,Mount Frere,Eastern Cape
Commercial Park Private School,East London,Eastern Cape
Con' Amore Public,Farm,Eastern Cape
Constantia Sskv Primary School,Graaff-Reinet,Eastern Cape
Cookhouse Primary School,Cookhouse,Eastern Cape
Cookhouse Secondary School,Cookhouse,Eastern Cape
Corana Junior Secondary School,Mqanduli,Eastern Cape
Coselelani Secondary School,Port Elizabeth,Eastern Cape
Cotswold Preparatory School,Port Elizabeth,Eastern Cape
Cove Ridge Primary School,East London,Eastern Cape
Coverside Primary School,Cathcart,Eastern Cape
Cowan High School,Port Elizabeth,Eastern Cape
